Event Number,trial_type,onset,duration
1,Social,0,8
2,Career,8,8
3,Career,16,8
4,Event,24,8
5,Career,32,8
6,Social,40,8
7,,,
8,School,56,8
9,,,
10,,,
11,Event,80,8
12,School,88,8
13,,,
14,,,
15,School,112,8
16,School,120,8
17,Career,128,8
18,Career,136,8
19,School,144,8
20,Event,152,8
21,Social,160,8
22,Event,168,8
23,Social,176,8
24,Event,184,8
25,Social,192,8
26,Social,200,8
27,Social,208,8
28,,,
29,,,
30,Social,232,8
31,,,
32,Event,248,8
33,Social,256,8
34,School,264,8
35,Career,272,8
36,Social,280,8
37,,,
38,,,
39,,,
40,Social,312,8
41,Social,320,8
42,Social,328,8
43,School,336,8
44,Social,344,8
45,,,8
46,School,360,8
47,Event,368,8
48,,,
49,Social,384,8
50,School,392,8
51,Social,400,8
52,Social,408,8
53,Social,416,8
54,,,
55,Career,432,8
56,Career,440,8
57,Social,448,8
58,Social,456,8
59,Social,464,8
60,Event,472,8
61,School,480,8
62,,,8
63,Social,496,8
64,Career,504,8
65,Social,512,8
66,Career,520,8
67,Social,528,8
68,School,536,8
69,School,544,8
70,Event,552,8
71,Social,560,8
72,School,568,8
73,Event,576,8
74,School,584,8
75,School,592,8
